Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Status,Image Src,Body (HTML),Metafield: custom.format [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.rating [number_decimal],Metafield: custom.review_count [number_integer],Metafield: custom.featured [boolean],Metafield: custom.key_features [list.single_line_text_field],Metafield: custom.benefits [list.single_line_text_field],Metafield: custom.why_use [list.single_line_text_field],Metafield: custom.nutrition [list.single_line_text_field],Metafield: custom.ingredients [multi_line_text_field],Metafield: custom.how_to_use [multi_line_text_field],Metafield: custom.safety [multi_line_text_field],Metafield: custom.notes [multi_line_text_field]
pure-marine-collagen-1200mg-120-capsules,Pure Marine Collagen 1200mg 120 Capsules,Sahha Daily,Health and Wellness,"Health and Wellness, Capsules, Best seller",TRUE,Title,Default Title,CC0224,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>Marine collagen capsules designed for daily skin, joints, and bones wellness support.</p>",Capsules,Best seller,4.8,1686,true,"[""High-strength 1200mg hydrolysed Type 1 & Type 3 collagen"",""120 capsules for a 2-month supply"",""Unflavoured with no fishy aftertaste""]","[""Supports daily collagen intake"",""Designed for skin, joints, and bones routines"",""Useful for beauty-from-within plans""]","[""Daily collagen support"",""Beauty and active lifestyle routines""]","[""Serving size: 2 capsules"",""Marine collagen: 1200mg per serving""]",Hydrolysed marine collagen. See product label for the complete ingredient list.,"Take 2 capsules daily with water, preferably with a meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
ashwagandha-ksm-66-1500mg-180-tablets,Ashwagandha Extract (KSM-66) 1500mg 180 Tablets,Sahha Daily,Health and Wellness,"Health and Wellness, Tablets, Best seller",TRUE,Title,Default Title,CC0460,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>KSM-66 ashwagandha tablets for relaxation, energy, focus, and natural-defence routines.</p>",Tablets,Best seller,4.8,440,true,"[""1500mg ashwagandha per tablet"",""KSM-66 ashwagandha extract"",""180 tablets for a 6-month supply""]","[""Supports calmness and focus routines"",""Useful for energy and relaxation support"",""Source of iron and calcium""]","[""Adaptogen wellness support"",""Daily calm and focus routine""]","[""Serving size: 1 tablet"",""Ashwagandha extract: 1500mg per serving""]","Ashwagandha extract, dicalcium phosphate, hypromellose, and other excipients listed on the label.","Take 1 tablet daily with a full glass of water, preferably with a main meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
magnesium-glycinate-1420mg-180-capsules,Magnesium Glycinate 1420mg 180 Capsules,Sahha Daily,Health and Wellness,"Health and Wellness, Capsules, Popular",TRUE,Title,Default Title,CC0533,shopify,,deny,manual,,TRUE,TRUE,g,active,,<p>Magnesium glycinate capsules with vitamin B6 for daily mineral and muscle-function support.</p>,Capsules,Popular,4.9,591,true,"[""1420mg magnesium glycinate per serving"",""Added vitamin B6"",""180 capsules for a 3-month supply""]","[""Magnesium contributes to reduced tiredness and fatigue"",""Supports electrolyte balance"",""Contributes to normal muscle function""]","[""Daily magnesium intake"",""Evening and active lifestyle routines""]","[""Serving size: 2 capsules"",""Magnesium glycinate: 1420mg per serving"",""Vitamin B6: 2mg per serving""]","Magnesium bisglycinate, vitamin B6, and supporting capsule ingredients listed on the label.","Take 2 capsules daily with water, preferably with a meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
omega-3-fish-oil-2000mg-240-softgels,Omega 3 Fish Oil 2000mg 240 Softgels,Sahha Daily,Health and Wellness,"Health and Wellness, Softgels, Best seller",TRUE,Title,Default Title,CC0350,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>Omega-3 fish oil softgels with EPA and DHA for heart, brain, and vision support.</p>",Softgels,Best seller,4.8,1322,true,"[""1100mg omega-3 fatty acids per serving"",""660mg EPA and 440mg DHA"",""240 softgels for a 4-month supply""]","[""EPA and DHA contribute to normal heart function"",""DHA contributes to normal brain function"",""DHA contributes to normal vision""]","[""Daily omega-3 intake"",""Heart, brain, and active wellness routines""]","[""Serving size: 2 softgels"",""Fish oil: 1000mg"",""Omega-3: 550mg"",""EPA: 330mg"",""DHA: 220mg""]",Fish oil softgels. See label for full excipients and allergen details.,"Take 2 softgels daily with a full glass of water, preferably with a meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
multivitamins-with-minerals-400-tablets,Multivitamins with Minerals 400 Tablets,Sahha Daily,Vitamins and Minerals,"Vitamins and Minerals, Tablets, Popular",TRUE,Title,Default Title,CC0410,shopify,,deny,manual,,TRUE,TRUE,g,active,,<p>A daily multivitamin and mineral tablet with 27 vitamins and minerals for all-round wellbeing.</p>,Tablets,Popular,4.8,439,false,"[""27 vitamins and minerals"",""400 tablets for over 1 year's supply"",""Small peppermint-flavoured tablets""]","[""Supports immune system routines"",""Contributes to reduced tiredness and fatigue"",""Supports normal energy-yielding metabolism""]","[""Foundational daily nutrition"",""Broad vitamin and mineral support""]","[""Serving size: 1 tablet"",""Includes vitamin C, B vitamins, magnesium, iron, zinc, D3, K2, iodine, selenium, and chromium""]","Vitamins and minerals including vitamin C, magnesium, iron, zinc, B vitamins, iodine, selenium, D3, and K2.","Take 1 tablet daily with a full glass of water, preferably with a main meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
vitamin-d3-k2-mk7-240-tablets,Vitamin D3 4000IU + K2 (MK-7) 125mcg 240 Tablets,Sahha Daily,Vitamins and Minerals,"Vitamins and Minerals, Tablets, New",TRUE,Title,Default Title,CC0394,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>High-strength vitamin D3 and K2 tablets for bones, muscles, and natural-defence routines.</p>",Tablets,New,4.8,645,false,"[""4000IU vitamin D3 per tablet"",""125mcg K2 MK-7 per tablet"",""High-strength daily tablet format""]","[""Vitamin D contributes to normal immune function"",""Vitamin D contributes to normal bones and teeth"",""Vitamin K contributes to normal blood clotting""]","[""Vitamin D and K support"",""Bone and immune wellness routines""]","[""Serving size: 1 tablet"",""Vitamin D3: 4000IU"",""Vitamin K2 MK-7: 125mcg""]","Vitamin D3, vitamin K2 MK-7, and tablet excipients listed on the label.","Take 1 tablet daily with water, preferably with a meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
calcium-magnesium-zinc-vitamin-d3-400-tablets,"Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Sahha Daily,Bones and Joints,"Bones and Joints, Tablets, Low stock",TRUE,Title,Default Title,CC0009,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>A calcium, magnesium, zinc, and vitamin D3 formula for all-round bone, muscle, and mineral support.</p>",Tablets,Low stock,4.8,323,false,"[""Calcium, magnesium, zinc, and vitamin D blend"",""Includes copper, manganese, selenium, boron, D3, and K2"",""400 tablets for over 1 year's supply""]","[""Calcium and magnesium contribute to normal muscle function"",""Calcium and vitamin D contribute to normal bones and teeth"",""Supports natural-defence and cognitive routines""]","[""Bone and mineral routine"",""Daily muscle-function support""]","[""Serving size: 1 tablet"",""Calcium carbonate: 500mg"",""Magnesium: 200mg"",""Zinc oxide: 5mg"",""Vitamin D3: 20mcg"",""Vitamin K: 200mcg""]","Calcium carbonate, magnesium, zinc oxide, manganese, copper, vitamin K, vitamin D3, selenium, boron, and excipients listed on the label.","Take 1 tablet daily with a full glass of water, preferably with a meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
biotin-12000mcg-365-tablets,Biotin 12000mcg 365 Tablets,Sahha Daily,"Beauty, Hair and Skin","Beauty, Hair and Skin, Tablets, Popular",TRUE,Title,Default Title,CC0349,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>High-strength biotin tablets for hair, skin, and nails wellness routines.</p>",Tablets,Popular,4.8,173,false,"[""12,000mcg biotin per tablet"",""365 tablets for a full-year supply"",""Vegan-friendly tablet format""]","[""Biotin contributes to normal hair maintenance"",""Biotin contributes to normal skin maintenance"",""Supports everyday beauty routines""]","[""Hair, skin, and nails support"",""Beauty-from-within routine""]","[""Serving size: 1 tablet"",""Biotin: 12,000mcg""]",Biotin and tablet excipients listed on the label.,"Take 1 tablet daily with water, preferably with a meal.","Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
multivitamin-gummies-for-women-90-gummies,Multivitamin Gummies for Women 90 Gummies,Sahha Daily,Women's Wellness,"Women's Wellness, Gummies, Popular",TRUE,Title,Default Title,CC0544,shopify,,deny,manual,,TRUE,TRUE,g,active,,"<p>Women's multivitamin gummies with vitamins, minerals, evening primrose oil, CoQ10, and hyaluronic acid.</p>",Gummies,Popular,4.8,137,false,"[""10 vitamins and minerals"",""Strawberry and raspberry flavour"",""90 gummies for a 1.5-month supply""]","[""Supports energy and mental wellbeing routines"",""Supports skin, bones, inner defences, and vitality"",""Designed for women's monthly wellness routines""]","[""Women's daily vitality"",""Beauty and wellness gummy routine""]","[""Serving size: 2 gummies"",""Includes calcium, vitamin E, vitamin C, CoQ10, evening primrose oil, zinc, B6, folic acid, biotin, iodine, and B12""]","Vitamin and mineral gummy blend with evening primrose oil, CoQ10, hyaluronic acid, and fruit flavours.",Chew 2 gummies daily. They can be taken together or separately during the day.,"Do not exceed the recommended daily dose. Food supplements should not replace a varied, balanced diet and healthy lifestyle. Keep out of reach of children.",Product details cross-referenced with the WeightWorld UK product page.
iron-vitamin-c-gummies-for-kids-120-gummies,Iron and Vitamin C Gummies for Kids 120 Gummies,Sahha Daily,Kids,"Kids, Gummies, New",TRUE,Title,Default Title,CC0513,shopify,,deny,manual,,TRUE,TRUE,g,active,,<p>Kids iron and vitamin C gummies in a mixed berry flavour for child-friendly daily support.</p>,Gummies,New,4.8,123,false,"[""Iron gummies for kids with vitamin C"",""Star-shaped mixed berry gummies"",""120 gummies per bottle""]","[""Supports children's physical and mental development routines"",""Vitamin C supports dietary iron absorption"",""Designed for brain, natural-defence, bones, and skin routines""]","[""Child-friendly iron intake"",""Family wellness routine""]","[""Serving size: 1 gummy"",""Vitamin C: 10mg"",""Iron: 7mg""]","Vitamin C, iron, glucose syrup, sugar, pectin, natural flavours, and other gummy ingredients listed on the label.","Children above 3 years can chew 1 gummy daily, or as directed on the label.",Do not give to children under 3 years. Keep out of reach of children. Food supplements should not replace a varied diet.,Product details cross-referenced with the WeightWorld UK product page.
